Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1964,500.0
Meteorological,Storm,Tropical cyclone,LKA,Sri Lanka,Southern Asia,Asia,,,1964,206.0
Hydrological,Flood,Flood (General),TUN,Tunisia,Northern Africa,Africa,,,1964,5.0
Meteorological,Storm,Tropical cyclone,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1964,44.0
Meteorological,Storm,Tropical cyclone,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1964,26.0
Meteorological,Storm,Storm (General),WSM,Samoa,Polynesia,Oceania,,,1964,250.0
Meteorological,Storm,Storm (General),USA,United States of America,Northern America,Americas,,,1964,140.0
Hydrological,Flood,Flood (General),MAR,Morocco,Northern Africa,Africa,,,1964,76.0
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1964,64.0
Hydrological,Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,,,1964,136.0
Meteorological,Storm,Tropical cyclone,CUB,Cuba,Latin America and the Caribbean,Americas,,,1964,
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1964,51.0
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1964,686.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1964,42.0
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1964,36.0
Hydrological,Flood,Flood (General),VNM,Viet Nam,South-eastern Asia,Asia,,,1964,400.0
Climatological,Drought,Drought,IRN,Iran (Islamic Republic of),Southern Asia,Asia,,,1964,
Climatological,Drought,Drought,ECU,Ecuador,Latin America and the Caribbean,Americas,,,1964,
Climatological,Drought,Drought,NPL,Nepal,Southern Asia,Asia,,,1964,
Climatological,Drought,Drought,IND,India,Southern Asia,Asia,,,1964,
Climatological,Drought,Drought,ZAF,South Africa,Sub-Saharan Africa,Africa,,,1964,
Climatological,Drought,Drought,IND,India,Southern Asia,Asia,,,1964,
Climatological,Drought,Drought,SOM,Somalia,Sub-Saharan Africa,Africa,,,1964,50.0
Geophysical,Earthquake,Ground movement,DZA,Algeria,Northern Africa,Africa,35.7,4.4,1965,2.0
Hydrological,Flood,Flood (General),JOR,Jordan,Western Asia,Asia,,,1965,8.0
Biological,Epidemic,Viral disease,TUR,Türkiye,Western Asia,Asia,,,1965,461.0
Meteorological,Storm,Tropical cyclone,WLF,Wallis and Futuna Islands,Polynesia,Oceania,,,1965,
Meteorological,Storm,Tropical cyclone,FJI,Fiji,Melanesia,Oceania,,,1965,2.0
Biological,Epidemic,Infectious disease (General),SOM,Somalia,Sub-Saharan Africa,Africa,,,1965,
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,39.4,24.0,1965,38.0
Geophysical,Earthquake,Ground movement,CHL,Chile,Latin America and the Caribbean,Americas,-32.522,-71.233,1965,400.0
Biological,Epidemic,Bacterial disease,SDN,Sudan,Northern Africa,Africa,,,1965,
Hydrological,Flood,Flood (General),ECU,Ecuador,Latin America and the Caribbean,Americas,,,1965,
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1965,271.0
Climatological,Wildfire,Forest fire,DOM,Dominican Republic,Latin America and the Caribbean,Americas,,,1965,
Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,47.4,-122.3,1965,7.0
Geophysical,Earthquake,Ground movement,SLV,El Salvador,Latin America and the Caribbean,Americas,13.5,-89.3,1965,125.0
Hydrological,Flood,Riverine flood,YUG,Yugoslavia,Southern Europe,Europe,,,1965,3.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1965,36000.0
Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,1965,16.0
Hydrological,Flood,Flood (General),PRY,Paraguay,Latin America and the Caribbean,Americas,,,1965,6.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1965,12047.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1965,61.0
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,1965,31.0
Biological,Epidemic,Bacterial disease,IRN,Iran (Islamic Republic of),Southern Asia,Asia,,,1965,288.0
Hydrological,Flood,Flood (General),CHL,Chile,Latin America and the Caribbean,Americas,,,1965,600.0
Meteorological,Storm,Tornado,ITA,Italy,Southern Europe,Europe,,,1965,37.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1965,37.0
Hydrological,Flood,Flood (General),KOR,Republic of Korea,Eastern Asia,Asia,,,1965,323.0
Hydrological,Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,,,1965,28.0
Biological,Epidemic,Viral disease,HND,Honduras,Latin America and the Caribbean,Americas,,,1965,7.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1965,26.0
Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,1965,6.0
Hydrological,Mass movement (wet),Landslide (wet),ARG,Argentina,Latin America and the Caribbean,Americas,,,1965,45.0
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,1965,24.0
Hydrological,Flood,Flood (General),MEX,Mexico,Latin America and the Caribbean,Americas,,,1965,27.0
Hydrological,Mass movement (wet),Avalanche (wet),CHE,Switzerland,Western Europe,Europe,,,1965,90.0
Hydrological,Flood,Flood (General),ITA,Italy,Southern Europe,Europe,,,1965,55.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1965,299.0
Meteorological,Storm,Tropical cyclone,BHS,Bahamas,Latin America and the Caribbean,Americas,,,1965,
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1965,60.0
Hydrological,Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,,,1965,114.0
Hydrological,Flood,Flood (General),HND,Honduras,Latin America and the Caribbean,Americas,,,1965,
Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,,,1965,355.0
Meteorological,Storm,Tropical cyclone,MMR,Myanmar,South-eastern Asia,Asia,,,1965,100.0
Biological,Epidemic,Viral disease,SEN,Senegal,Sub-Saharan Africa,Africa,,,1965,60.0
Hydrological,Flood,Flood (General),MAR,Morocco,Northern Africa,Africa,,,1965,
Hydrological,Flood,Flood (General),MMR,Myanmar,South-eastern Asia,Asia,,,1965,34.0
Hydrological,Mass movement (wet),Landslide (wet),COL,Colombia,Latin America and the Caribbean,Americas,,,1965,32.0
Hydrological,Flood,Flood (General),MYS,Malaysia,South-eastern Asia,Asia,,,1965,6.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1965,874.0
Meteorological,Storm,Tropical cyclone,PAK,Pakistan,Southern Asia,Asia,,,1965,10000.0
Hydrological,Mass movement (wet),Landslide (wet),BGR,Bulgaria,Eastern Europe,Europe,,,1965,11.0
Hydrological,Flood,Flash flood,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,1965,40.0
Hydrological,Flood,Riverine flood,PER,Peru,Latin America and the Caribbean,Americas,,,1965,60.0
Meteorological,Storm,Tropical cyclone,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1965,5.0
Hydrological,Mass movement (wet),Landslide (wet),CAN,Canada,Northern America,Americas,,,1965,26.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-2.608,-125.952,1965,71.0
Hydrological,Mass movement (wet),Landslide (wet),CHL,Chile,Latin America and the Caribbean,Americas,,,1965,26.0
Meteorological,Extreme temperature,Heat wave,IND,India,Southern Asia,Asia,,,1965,100.0
Meteorological,Storm,Storm (General),CHL,Chile,Latin America and the Caribbean,Americas,,,1965,58.0
Hydrological,Flood,Flood (General),MAR,Morocco,Northern Africa,Africa,,,1965,75.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,37.6,47.1,1965,20.0
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,37.7,21.8,1965,32.0
Climatological,Drought,Drought,MRT,Mauritania,Sub-Saharan Africa,Africa,,,1965,
Climatological,Drought,Drought,BWA,Botswana,Sub-Saharan Africa,Africa,,,1965,
Climatological,Drought,Drought,HND,Honduras,Latin America and the Caribbean,Americas,,,1965,
Climatological,Drought,Drought,ETH,Ethiopia,Sub-Saharan Africa,Africa,,,1965,2000.0
Climatological,Drought,Drought,KEN,Kenya,Sub-Saharan Africa,Africa,,,1965,
Climatological,Drought,Drought,IND,India,Southern Asia,Asia,,,1965,1500000.0
Climatological,Drought,Drought,CHN,China,Eastern Asia,Asia,,,1965,
Hydrological,Mass movement (wet),Landslide (wet),HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1966,64.0
Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,1966,373.0
Hydrological,Mass movement (wet),Landslide (wet),BRA,Brazil,Latin America and the Caribbean,Americas,,,1966,350.0
Meteorological,Storm,Tropical cyclone,TKL,Tokelau,Polynesia,Oceania,,,1966,
Meteorological,Storm,Tropical cyclone,WLF,Wallis and Futuna Islands,Polynesia,Oceania,,,1966,
Hydrological,Flood,Riverine flood,PRY,Paraguay,Latin America and the Caribbean,Americas,,,1966,
Hydrological,Flood,Riverine flood,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,1966,
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,39.2,22.0,1966,1.0
Hydrological,Flood,Coastal flood,SEN,Senegal,Sub-Saharan Africa,Africa,,,1966,
Hydrological,Flood,Riverine flood,ARG,Argentina,Latin America and the Caribbean,Americas,,,1966,62.0
Biological,Epidemic,Bacterial disease,SDN,Sudan,Northern Africa,Africa,,,1966,
Hydrological,Flood,Flash flood,JOR,Jordan,Western Asia,Asia,,,1966,259.0
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,,,1966,176.0
Meteorological,Storm,Tornado,TGO,Togo,Sub-Saharan Africa,Africa,,,1966,
Geophysical,Earthquake,Ground movement,UGA,Uganda,Sub-Saharan Africa,Africa,0.622,29.863,1966,104.0
Geophysical,Earthquake,Ground movement,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,,,1966,24.0
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1966,1000.0
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,41.2,69.1,1966,10.0
Hydrological,Mass movement (wet),Landslide (wet),ECU,Ecuador,Latin America and the Caribbean,Americas,,,1966,50.0
Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,1966,147.0
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,1966,36.0
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1966,47.0
Hydrological,Flood,Flood (General),BGD,Bangladesh,Southern Asia,Asia,,,1966,39.0
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1966,26.0
Hydrological,Flood,Flood (General),HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1966,65.0
Geophysical,Earthquake,Ground movement,NPL,Nepal,Southern Asia,Asia,29.706,80.935,1966,80.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1966,44.0
Hydrological,Flood,Flood (General),BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,1966,14.0
Meteorological,Extreme temperature,Heat wave,USA,United States of America,Northern America,Americas,,,1966,80.0
Meteorological,Extreme temperature,Heat wave,USA,United States of America,Northern America,Americas,,,1966,182.0
Hydrological,Flood,Flood (General),MNG,Mongolia,Eastern Asia,Asia,,,1966,57.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,38.5,41.3,1966,14.0
Hydrological,Flood,Flood (General),KOR,Republic of Korea,Eastern Asia,Asia,,,1966,95.0
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1966,88.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,39.235,41.572,1966,2394.0
Hydrological,Flood,Riverine flood,LAO,Lao People's Democratic Republic,South-eastern Asia,Asia,,,1966,300.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1966,314.0
Hydrological,Flood,Flood (General),LKA,Sri Lanka,Southern Asia,Asia,,,1966,23.0
Hydrological,Flood,Riverine flood,THA,Thailand,South-eastern Asia,Asia,,,1966,6.0
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,37.5,22.1,1966,1.0
